threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.3466955579631636,1.0,0.5148833467417538,0.3523093447905478
0.1111111111111111,0.3744075829383886,0.9875,0.5429553264604812,0.42857142857142855
0.16666666666666666,0.4178082191780822,0.953125,0.5809523809523809,0.527389903329753
0.2222222222222222,0.5711159737417943,0.815625,0.6718146718146718,0.7261009667024705
0.2777777777777778,0.6834733893557423,0.7625,0.7208271787296898,0.7969924812030075
0.3333333333333333,0.75,0.721875,0.7356687898089173,0.8216970998925887
0.38888888888888884,0.875,0.56875,0.6893939393939393,0.8238453276047261
0.4444444444444444,0.91005291005291,0.5375,0.6758349705304519,0.8227712137486574
0.5,0.9444444444444444,0.53125,0.6799999999999999,0.8281417830290011
0.5555555555555556,0.9542857142857143,0.521875,0.6747474747474748,0.8270676691729323
0.611111111111111,0.9698795180722891,0.503125,0.6625514403292182,0.8238453276047261
0.6666666666666666,0.9746835443037974,0.48125,0.6443514644351465,0.8174006444683136
0.7222222222222222,0.974025974025974,0.46875,0.6329113924050633,0.8131041890440387
0.7777777777777777,0.986013986013986,0.440625,0.6090712742980561,0.8055853920515574
0.8333333333333333,0.9926470588235294,0.421875,0.5921052631578947,0.8002148227712137
0.8888888888888888,0.9925373134328358,0.415625,0.5859030837004405,0.7980665950590763
0.9444444444444444,0.9921875,0.396875,0.5669642857142856,0.7916219119226638
1.0,0.0,0.0,0.0,0.6562835660580022
