threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.41354466858789624,0.896875,0.5660749506903353,0.527389903329753
0.1111111111111111,0.44976076555023925,0.88125,0.5955649419218585,0.5886143931256713
0.16666666666666666,0.5046382189239332,0.85,0.6332945285215367,0.6616541353383458
0.2222222222222222,0.5634408602150538,0.81875,0.6675159235668789,0.719656283566058
0.2777777777777778,0.6435897435897436,0.784375,0.7070422535211267,0.7765843179377014
0.3333333333333333,0.6848137535816619,0.746875,0.7144992526158446,0.7948442534908701
0.38888888888888884,0.7218543046357616,0.68125,0.7009646302250805,0.8002148227712137
0.4444444444444444,0.7781954887218046,0.646875,0.7064846416382252,0.8152524167561761
0.5,0.7943548387096774,0.615625,0.6936619718309859,0.8131041890440387
0.5555555555555556,0.8663366336633663,0.546875,0.6704980842911877,0.8152524167561761
0.611111111111111,0.8571428571428571,0.4875,0.6215139442231076,0.7959183673469388
0.6666666666666666,0.8497109826589595,0.459375,0.5963488843813387,0.7862513426423201
0.7222222222222222,0.8616352201257862,0.428125,0.5720250521920667,0.7798066595059077
0.7777777777777777,0.8589743589743589,0.41875,0.5630252100840336,0.7765843179377014
0.8333333333333333,0.8666666666666667,0.40625,0.5531914893617021,0.7744360902255639
0.8888888888888888,0.8620689655172413,0.390625,0.5376344086021505,0.7690655209452202
0.9444444444444444,0.8671328671328671,0.3875,0.5356371490280778,0.7690655209452202
1.0,0.8571428571428571,0.35625,0.5033112582781456,0.7583243823845328
