threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.1111111111111111,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.16666666666666666,0.3482532751091703,0.996875,0.5161812297734628,0.3576799140708915
0.2222222222222222,0.3600464576074332,0.96875,0.5249788314987299,0.39742212674543503
0.2777777777777778,0.38040712468193383,0.934375,0.5406871609403254,0.45435016111707843
0.3333333333333333,0.4103703703703704,0.865625,0.55678391959799,0.5263157894736842
0.38888888888888884,0.43804537521815007,0.784375,0.5621500559910414,0.5800214822771214
0.4444444444444444,0.46813186813186813,0.665625,0.5496774193548387,0.6251342642320086
0.5,0.49868073878627966,0.590625,0.5407725321888411,0.6552094522019334
0.5555555555555556,0.5728476821192053,0.540625,0.5562700964630225,0.7035445757250268
0.611111111111111,0.6296296296296297,0.478125,0.5435168738898757,0.723952738990333
0.6666666666666666,0.7034883720930233,0.378125,0.49186991869918706,0.7314715359828142
0.7222222222222222,0.7226890756302521,0.26875,0.3917995444191344,0.7132116004296455
0.7777777777777777,0.7910447761194029,0.165625,0.2739018087855297,0.6981740064446831
0.8333333333333333,0.8148148148148148,0.06875,0.1268011527377522,0.6745435016111708
0.8888888888888888,0.75,0.009375,0.018518518518518517,0.6584317937701396
0.9444444444444444,0.0,0.0,0.0,0.6562835660580022
1.0,0.0,0.0,0.0,0.6562835660580022
