threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.36353211009174313,0.990625,0.5318791946308724,0.40064446831364126
0.1111111111111111,0.4364406779661017,0.965625,0.6011673151750974,0.5596133190118152
0.16666666666666666,0.5498084291187739,0.896875,0.681710213776722,0.7121374865735768
0.2222222222222222,0.6981132075471698,0.809375,0.7496382054992764,0.8141783029001074
0.2777777777777778,0.7896440129449838,0.7625,0.7758346581875993,0.8485499462943072
0.3333333333333333,0.8200692041522492,0.740625,0.7783251231527093,0.8549946294307197
0.38888888888888884,0.843065693430657,0.721875,0.7777777777777779,0.8582169709989259
0.4444444444444444,0.8604651162790697,0.69375,0.768166089965398,0.8560687432867884
0.5,0.8816326530612245,0.675,0.7646017699115044,0.8571428571428571
0.5555555555555556,0.9162995594713657,0.65,0.760511882998172,0.8592910848549946
0.611111111111111,0.9348837209302325,0.628125,0.7514018691588785,0.8571428571428571
0.6666666666666666,0.9552238805970149,0.6,0.7370441458733205,0.8528464017185822
0.7222222222222222,0.9682539682539683,0.571875,0.7190569744597249,0.8464017185821697
0.7777777777777777,0.9757575757575757,0.503125,0.6639175257731958,0.8249194414607949
0.8333333333333333,0.98,0.459375,0.6255319148936169,0.8109559613319012
0.8888888888888888,0.9852941176470589,0.41875,0.5877192982456141,0.7980665950590763
0.9444444444444444,1.0,0.3625,0.5321100917431192,0.7808807733619764
1.0,0.0,0.0,0.0,0.6562835660580022
